




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Xenopus tropicalis)
Reference List:	Xenopus tropicalis (all genes in database)
Test Type:	FISHER
GO biological process complete	Xenopus tropicalis - REFLIST (24177)	upload_1 (116)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
pattern specification process (GO:0007389)	197	13	.95	+	13.75	2.61E-11	2.14E-08
skeletal system morphogenesis (GO:0048705)	61	4	.29	+	13.67	2.67E-04	1.67E-02
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	172	10	.83	+	12.12	1.79E-08	5.49E-06
gland development (GO:0048732)	86	5	.41	+	12.12	7.63E-05	5.99E-03
cranial skeletal system development (GO:1904888)	73	4	.35	+	11.42	5.11E-04	2.75E-02
enzyme linked receptor protein signaling pathway (GO:0007167)	251	13	1.20	+	10.79	4.47E-10	3.30E-07
gastrulation (GO:0007369)	100	5	.48	+	10.42	1.50E-04	1.05E-02
organic hydroxy compound metabolic process (GO:1901615)	107	5	.51	+	9.74	2.03E-04	1.39E-02
cellular response to endogenous stimulus (GO:0071495)	259	12	1.24	+	9.66	7.16E-09	2.64E-06
regulation of receptor activity (GO:0010469)	218	10	1.05	+	9.56	1.49E-07	2.56E-05
response to endogenous stimulus (GO:0009719)	264	12	1.27	+	9.47	8.78E-09	3.08E-06
vasculature development (GO:0001944)	135	6	.65	+	9.26	6.04E-05	5.01E-03
epithelium development (GO:0060429)	271	12	1.30	+	9.23	1.16E-08	3.89E-06
tissue morphogenesis (GO:0048729)	182	8	.87	+	9.16	3.73E-06	4.24E-04
blood vessel development (GO:0001568)	114	5	.55	+	9.14	2.70E-04	1.67E-02
cardiovascular system development (GO:0072358)	139	6	.67	+	9.00	7.05E-05	5.66E-03
skeletal system development (GO:0001501)	116	5	.56	+	8.98	2.91E-04	1.72E-02
positive regulation of signal transduction (GO:0009967)	245	10	1.18	+	8.51	4.19E-07	6.72E-05
animal organ morphogenesis (GO:0009887)	246	10	1.18	+	8.47	4.34E-07	6.82E-05
embryonic morphogenesis (GO:0048598)	253	10	1.21	+	8.24	5.56E-07	8.37E-05
positive regulation of cell communication (GO:0010647)	255	10	1.22	+	8.17	5.95E-07	8.79E-05
positive regulation of signaling (GO:0023056)	256	10	1.23	+	8.14	6.16E-07	8.92E-05
Wnt signaling pathway (GO:0016055)	131	5	.63	+	7.96	4.98E-04	2.72E-02
cell-cell signaling by wnt (GO:0198738)	131	5	.63	+	7.96	4.98E-04	2.70E-02
regulation of MAPK cascade (GO:0043408)	184	7	.88	+	7.93	3.77E-05	3.23E-03
embryonic organ morphogenesis (GO:0048562)	132	5	.63	+	7.89	5.15E-04	2.75E-02
morphogenesis of an epithelium (GO:0002009)	143	5	.69	+	7.29	7.31E-04	3.67E-02
sensory organ development (GO:0007423)	205	7	.98	+	7.12	7.28E-05	5.78E-03
tissue development (GO:0009888)	473	16	2.27	+	7.05	1.56E-09	7.19E-07
regulation of cell proliferation (GO:0042127)	179	6	.86	+	6.99	2.67E-04	1.68E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	269	9	1.29	+	6.97	7.75E-06	8.17E-04
brain development (GO:0007420)	152	5	.73	+	6.86	9.53E-04	4.66E-02
tube development (GO:0035295)	153	5	.73	+	6.81	9.81E-04	4.76E-02
embryonic organ development (GO:0048568)	186	6	.89	+	6.72	3.25E-04	1.89E-02
negative regulation of signal transduction (GO:0009968)	217	7	1.04	+	6.72	1.03E-04	7.58E-03
cellular response to organic substance (GO:0071310)	443	14	2.13	+	6.59	4.02E-08	9.89E-06
negative regulation of cell communication (GO:0010648)	223	7	1.07	+	6.54	1.21E-04	8.76E-03
negative regulation of signaling (GO:0023057)	223	7	1.07	+	6.54	1.21E-04	8.67E-03
cellular response to chemical stimulus (GO:0070887)	551	17	2.64	+	6.43	1.77E-09	7.68E-07
regulation of signal transduction (GO:0009966)	877	27	4.21	+	6.42	1.41E-14	1.04E-10
negative regulation of response to stimulus (GO:0048585)	233	7	1.12	+	6.26	1.57E-04	1.09E-02
regulation of cell differentiation (GO:0045595)	201	6	.96	+	6.22	4.85E-04	2.67E-02
regulation of cell communication (GO:0010646)	935	27	4.49	+	6.02	6.27E-14	2.31E-10
regulation of signaling (GO:0023051)	949	27	4.55	+	5.93	8.85E-14	2.18E-10
anatomical structure morphogenesis (GO:0009653)	747	20	3.58	+	5.58	6.18E-10	3.80E-07
response to organic substance (GO:0010033)	529	14	2.54	+	5.52	3.30E-07	5.41E-05
positive regulation of response to stimulus (GO:0048584)	386	10	1.85	+	5.40	2.08E-05	1.92E-03
regulation of response to stimulus (GO:0048583)	1063	27	5.10	+	5.29	1.19E-12	1.76E-09
circulatory system development (GO:0072359)	279	7	1.34	+	5.23	4.55E-04	2.55E-02
embryo development (GO:0009790)	399	10	1.91	+	5.22	2.74E-05	2.41E-03
cell surface receptor signaling pathway (GO:0007166)	854	21	4.10	+	5.13	9.71E-10	5.51E-07
regulation of phosphorylation (GO:0042325)	342	8	1.64	+	4.88	2.82E-04	1.72E-02
animal organ development (GO:0048513)	849	19	4.07	+	4.66	2.93E-08	8.02E-06
regulation of intracellular signal transduction (GO:1902531)	456	10	2.19	+	4.57	8.16E-05	6.34E-03
regulation of developmental process (GO:0050793)	371	8	1.78	+	4.49	4.79E-04	2.66E-02
neurogenesis (GO:0022008)	474	10	2.27	+	4.40	1.11E-04	8.14E-03
regulation of phosphate metabolic process (GO:0019220)	389	8	1.87	+	4.29	6.49E-04	3.33E-02
regulation of phosphorus metabolic process (GO:0051174)	389	8	1.87	+	4.29	6.49E-04	3.30E-02
multicellular organism development (GO:0007275)	1678	34	8.05	+	4.22	4.06E-13	7.49E-10
cell differentiation (GO:0030154)	1032	20	4.95	+	4.04	1.22E-07	2.37E-05
cellular developmental process (GO:0048869)	1043	20	5.00	+	4.00	1.44E-07	2.53E-05
anatomical structure development (GO:0048856)	1873	35	8.99	+	3.89	1.64E-12	2.01E-09
regulation of transcription by RNA polymerase II (GO:0006357)	660	12	3.17	+	3.79	9.09E-05	6.85E-03
developmental process (GO:0032502)	2018	36	9.68	+	3.72	2.69E-12	2.48E-09
system development (GO:0048731)	1384	24	6.64	+	3.61	4.31E-08	1.03E-05
nervous system development (GO:0007399)	745	12	3.57	+	3.36	2.74E-04	1.68E-02
regulation of transcription, DNA-templated (GO:0006355)	1556	25	7.47	+	3.35	9.15E-08	1.99E-05
regulation of RNA biosynthetic process (GO:2001141)	1580	25	7.58	+	3.30	1.22E-07	2.31E-05
regulation of nucleic acid-templated transcription (GO:1903506)	1580	25	7.58	+	3.30	1.22E-07	2.25E-05
positive regulation of cellular process (GO:0048522)	1084	17	5.20	+	3.27	1.88E-05	1.75E-03
positive regulation of biological process (GO:0048518)	1216	19	5.83	+	3.26	6.01E-06	6.62E-04
regulation of RNA metabolic process (GO:0051252)	1633	25	7.84	+	3.19	2.26E-07	3.79E-05
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1700	26	8.16	+	3.19	1.25E-07	2.25E-05
regulation of molecular function (GO:0065009)	1222	18	5.86	+	3.07	2.37E-05	2.13E-03
multicellular organismal process (GO:0032501)	2568	37	12.32	+	3.00	5.47E-10	3.67E-07
regulation of cellular macromolecule biosynthetic process (GO:2000112)	1752	25	8.41	+	2.97	8.22E-07	1.12E-04
regulation of macromolecule biosynthetic process (GO:0010556)	1782	25	8.55	+	2.92	1.12E-06	1.42E-04
regulation of cellular biosynthetic process (GO:0031326)	1817	25	8.72	+	2.87	1.58E-06	1.98E-04
regulation of biosynthetic process (GO:0009889)	1822	25	8.74	+	2.86	1.66E-06	2.04E-04
regulation of gene expression (GO:0010468)	1876	25	9.00	+	2.78	2.79E-06	3.32E-04
regulation of primary metabolic process (GO:0080090)	2401	30	11.52	+	2.60	8.27E-07	1.11E-04
regulation of cellular metabolic process (GO:0031323)	2425	30	11.64	+	2.58	1.02E-06	1.32E-04
response to chemical (GO:0042221)	1387	17	6.65	+	2.55	3.61E-04	2.04E-02
regulation of nitrogen compound metabolic process (GO:0051171)	2372	29	11.38	+	2.55	2.06E-06	2.49E-04
regulation of metabolic process (GO:0019222)	2554	31	12.25	+	2.53	9.51E-07	1.25E-04
regulation of macromolecule metabolic process (GO:0060255)	2443	29	11.72	+	2.47	3.68E-06	4.24E-04
biosynthetic process (GO:0009058)	1877	21	9.01	+	2.33	3.15E-04	1.84E-02
organic substance biosynthetic process (GO:1901576)	1826	20	8.76	+	2.28	5.49E-04	2.91E-02
regulation of cellular process (GO:0050794)	6717	60	32.23	+	1.86	6.12E-08	1.41E-05
biological regulation (GO:0065007)	7503	67	36.00	+	1.86	3.82E-09	1.56E-06
regulation of biological process (GO:0050789)	6989	61	33.53	+	1.82	9.81E-08	2.01E-05
biological_process (GO:0008150)	14421	97	69.19	+	1.40	3.48E-08	9.17E-06
Unclassified (UNCLASSIFIED)	9756	19	46.81	-	.41	3.48E-08	8.85E-06
G-protein coupled receptor signaling pathway (GO:0007186)	1928	0	9.25	-	 < 0.01	1.03E-04	7.65E-03
