




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	PANTHER version 13.1 Released 2018-02-03
Analyzed List:	Client Text Box Input (Xenopus tropicalis)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Xenopus tropicalis (all genes in database)
Test Type:	FISHER
PANTHER GO-Slim Biological Process	Xenopus tropicalis - REFLIST (24177)	Client Text Box Input (987)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
MAPK cascade (GO:0000165)	383	32	15.64	+	2.05	2.91E-04	1.74E-03
sensory perception of smell (GO:0007608)	220	0	8.98	-	 < 0.01	3.11E-04	1.82E-03
system development (GO:0048731)	449	36	18.33	+	1.96	3.20E-04	1.83E-03
RNA splicing, via transesterification reactions (GO:0000375)	138	16	5.63	+	2.84	3.76E-04	2.10E-03
mRNA splicing, via spliceosome (GO:0000398)	161	17	6.57	+	2.59	6.67E-04	3.64E-03
chromatin remodeling (GO:0006338)	32	7	1.31	+	5.36	7.16E-04	3.82E-03
anterior/posterior axis specification (GO:0009948)	16	5	.65	+	7.65	1.11E-03	5.77E-03
rRNA metabolic process (GO:0016072)	112	13	4.57	+	2.84	1.28E-03	6.52E-03
vesicle-mediated transport (GO:0016192)	716	13	29.23	-	.44	1.31E-03	6.53E-03
tRNA metabolic process (GO:0006399)	115	13	4.69	+	2.77	1.58E-03	7.76E-03
phosphate-containing compound metabolic process (GO:0006796)	1793	101	73.20	+	1.38	1.65E-03	7.90E-03
RNA catabolic process (GO:0006401)	76	10	3.10	+	3.22	1.96E-03	9.24E-03
phosphate ion transport (GO:0006817)	19	5	.78	+	6.45	2.10E-03	9.67E-03
nucleobase-containing compound transport (GO:0015931)	97	11	3.96	+	2.78	3.45E-03	1.56E-02
response to stress (GO:0006950)	550	37	22.45	+	1.65	4.85E-03	2.15E-02
negative regulation of apoptotic process (GO:0043066)	103	11	4.20	+	2.62	5.21E-03	2.27E-02
neurological system process (GO:0050877)	974	23	39.76	-	.58	5.81E-03	2.49E-02
nuclear transport (GO:0051169)	105	11	4.29	+	2.57	5.93E-03	2.50E-02
nervous system development (GO:0007399)	355	26	14.49	+	1.79	7.07E-03	2.93E-02
sensory perception of chemical stimulus (GO:0007606)	283	3	11.55	-	.26	8.16E-03	3.21E-02
sulfur compound metabolic process (GO:0006790)	80	9	3.27	+	2.76	8.16E-03	3.26E-02
protein methylation (GO:0006479)	52	7	2.12	+	3.30	8.08E-03	3.29E-02
cellular component biogenesis (GO:0044085)	754	46	30.78	+	1.49	9.38E-03	3.57E-02
cellular amino acid metabolic process (GO:0006520)	242	19	9.88	+	1.92	9.38E-03	3.63E-02
RNA localization (GO:0006403)	68	8	2.78	+	2.88	9.75E-03	3.66E-02
cellular component movement (GO:0006928)	449	30	18.33	+	1.64	1.20E-02	4.43E-02
sensory perception of pain (GO:0019233)	10	3	.41	+	7.35	1.28E-02	4.66E-02
regulation of biological process (GO:0050789)	3442	113	140.52	-	.80	1.34E-02	4.80E-02
